iter,objective
1,-0.13001433432088627
2,-0.1365714859285317
3,-0.13971264018160964
4,-0.14171698466510382
5,-0.14322951304988027
6,-0.14438276975069222
7,-0.14526102870809895
8,-0.1459545909405467
9,-0.14651222506876344
10,-0.14675387647494245
11,-0.14689873289607358
12,-0.1469998765546648
13,-0.14707649014228724
14,-0.14713745839888576
15,-0.14718763300646726
16,-0.1472299492879966
17,-0.14726631390377554
18,-0.14729803212724576
19,-0.14732603453661622
20,-0.1473510064094873
21,-0.14737346592926115
22,-0.147393813684506
23,-0.14741236521383963
24,-0.14742937309879614
25,-0.14744504237608566
26,-0.1474595415456766
27,-0.1474730105966094
28,-0.1474855669654878
29,-0.1474973100319277
30,-0.14750832455937393
31,-0.147518683363042
32,-0.14752844940298684
33,-0.14753767744377347
34,-0.1475464153833779
35,-0.1475547053267932
36,-0.14756258446055623
37,-0.14757008577054875
38,-0.14757723863532893
39,-0.14758406931980203
40,-0.1475906013884868
41,-0.14763068066219587
42,-0.14765681059355587
43,-0.1476776615233045
44,-0.1476955077727642
45,-0.14771133246628254
46,-0.1477256672204698
47,-0.1477388726913506
48,-0.14775120082847942
49,-0.14776283240382426
50,-0.147773902354327
51,-0.1477845146360246
52,-0.1477947514516471
53,-0.14780467925334032
54,-0.1478143527969616
55,-0.1478238179673337
56,-0.14783311379988023
57,-0.14784227396056224
58,-0.14785132785098912
59,-0.14786030144820347
60,-0.14786921795286484
61,-0.1478780982966029
62,-0.1478869615442157
63,-0.14789582521623273
64,-0.1479047055503958
65,-0.14791361771574588
66,-0.14792257598954697
67,-0.1479315939047919
68,-0.14794068437421432
69,-0.14794985979538927
70,-0.14795913214049902
71,-0.1479685130335802
72,-0.14797801381748896
73,-0.1479876456123757
74,-0.14799643237874205
75,-0.14800472122232763
76,-0.1480126584984485
77,-0.14802035177495979
78,-0.14802789671647362
79,-0.14803533358862062
80,-0.14804268524052278
81,-0.1480499689406975
82,-0.1480571980009834
83,-0.14806438280717957
84,-0.14807153150508245
85,-0.1480786504743227
86,-0.14808574466531965
87,-0.14809281784452383
88,-0.14809987277622574
89,-0.14810691135928594
90,-0.1481139347310629
91,-0.14812094334696865
92,-0.14812793704157276
93,-0.14813491507549328
94,-0.14814187617116475
95,-0.14814881853976805
96,-0.1481557399010356
97,-0.14816263749723224
98,-0.14816948965450755
99,-0.14817628926701193
100,-0.14818303226092144
101,-0.14818971411448603
102,-0.14819632985564685
103,-0.14820287405734892
104,-0.14820934083079002
105,-0.14821572381679804
106,-0.14822201617548855
107,-0.1482282360658738
108,-0.14823439329967725
109,-0.1482404942485909
110,-0.14824654334150952
111,-0.14825254375198102
112,-0.14825849777824154
113,-0.14826440707776042
114,-0.14827027282323313
115,-0.14827609581222076
116,-0.14828187654766858
117,-0.14828761529925016
118,-0.14829331215163102
119,-0.1482989670435612
120,-0.14830457980040634
121,-0.14831015016191662
122,-0.14831567780650792
123,-0.14832116237298495
124,-0.14832660348039484
125,-0.14833200074653718
126,-0.14833735380553806
127,-0.14834266232480806
128,-0.14834792602164584
129,-0.14835314467969923
130,-0.14835833661176084
131,-0.14836350520174407
132,-0.14836865045696151
133,-0.14837377250370004
134,-0.1483788716036368
135,-0.14838394817088452
136,-0.1483890027897489
137,-0.14839403623327904
138,-0.1483990494826867
139,-0.14840404374771085
140,-0.1484090197806192
141,-0.14841397809181392
142,-0.14841891903673932
143,-0.1484238428642771
144,-0.14842874974775933
145,-0.14843363980652946
146,-0.14843851312175477
147,-0.14844336974846747
148,-0.14844820972498843
149,-0.14845303308044913
150,-0.14845783984087738
151,-0.14846263003415813
152,-0.14846740369408487
153,-0.14847216086365103
154,-0.14847690159768676
155,-0.14848162596491474
156,-0.14848633404947545
157,-0.1484910259519546
158,-0.14849570178993365
159,-0.14850036169807118
160,-0.14850500582771695
161,-0.14850963434605133
162,-0.14851424743473862
163,-0.14851884528799414
164,-0.14852342811026437
165,-0.14852799611330716
166,-0.14853254951267245
167,-0.14853708852356176
168,-0.14854161335602853
169,-0.14854612420947488
170,-0.14855062126639948
171,-0.1485551046853449
172,-0.1485595745929906
173,-0.1485640310974049
174,-0.1485684742949848
175,-0.14857290427490105
176,-0.14857732112217303
177,-0.14858172491987337
178,-0.14858611575072855
179,-0.14859049369827745
180,-0.148594858847691
181,-0.14859921128632386
182,-0.14860355110404988
183,-0.14860787839341802
184,-0.14861219324965946
185,-0.1486164957705693
186,-0.1486207860562817
187,-0.14862506420895719
188,-0.14862933033239611
189,-0.14863358453159267
190,-0.14863782691224414
191,-0.1486420575802277
192,-0.14864627664105867
193,-0.1486504841993447
194,-0.14865468035825
195,-0.14865886521898536
196,-0.14866303888034282
197,-0.1486672014382888
198,-0.1486713529856359
199,-0.14867549361181442
200,-0.14867962340276691
201,-0.1486837424409889
202,-0.14868785080574323
203,-0.14869194857347676
204,-0.14869603581846985
205,-0.14870011261375388
206,-0.14870417903164357
207,-0.14870823514407006
208,-0.14871228102278553
209,-0.14871631673947897
210,-0.14872034236582649
211,-0.14872435797349384
212,-0.14872836363410297
213,-0.14873235941917226
214,-0.14873634540003758
215,-0.14874032164776116
216,-0.14874428823303243
217,-0.148748245226066
218,-0.14875219269650028
219,-0.1487561307133
220,-0.14876005934466593
221,-0.1487639786579538
222,-0.14876788871960456
223,-0.1487717895950885
224,-0.14877568134886351
225,-0.14877956404434953
226,-0.14878343774391917
227,-0.1487873025089048
228,-0.14879115839962223
229,-0.14879500547540947
230,-0.14879884379467984
231,-0.14880267341498665
232,-0.14880649439309762
233,-0.14881030678507484
234,-0.14881411064635583
235,-0.14881790603183115
236,-0.1488216929959108
237,-0.14882547159257312
238,-0.14882924187538632
239,-0.14883300389751433
240,-0.1488367577117126
241,-0.148840503370317
242,-0.14884424092522985
243,-0.14884797042790268
244,-0.14885169192931952
245,-0.14885540547998063
246,-0.14885911112988706
247,-0.1488628089285279
248,-0.14886649892486983
249,-0.14887018116734943
250,-0.14887385570386868
251,-0.14887752258179338
252,-0.14888118184795474
253,-0.14888483354865387
254,-0.148888477729669
255,-0.14889211443626507
256,-0.14889574371320577
257,-0.1488993656047666
258,-0.14890298015475023
259,-0.14890658740650164
260,-0.14891018740292422
261,-0.1489137801864956
262,-0.14891736579928247
263,-0.14892094428295466
264,-0.14892451567879755
265,-0.14892808002772237
266,-0.14893163737027487
